Account,Service Number,Reason Code,Adjust Type,Op Type,Open Amount,Ext Trans Id,Bill Cycle ID,Acct Balance,Balance Type,Eff Date,Exp Date,Notify Flag,Due Date,Remark,Invoice No,Invoice ID,Invoice Date,Region,Amount format
1100710039,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919608,8784047,24-05-2020,R05,399.01
1100685002,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919956,8775078,24-05-2020,R04,499.00
1100674058,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919955,8775077,24-05-2020,R04,229.00
1100674060,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919954,8775076,24-05-2020,R04,229.00
1100676055,,AC_AJCRASE,CR,1,42927.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919607,8774073,24-05-2020,R05,429.27
1100712029,,AC_AJCRASE,CR,1,149699.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920520,8774066,24-05-2020,R02,1496.99
1100713009,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920564,8780042,24-05-2020,R07,229.00
1100680013,,AC_AJCRASE,CR,1,22900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919606,8774075,24-05-2020,R05,229.00
1100698015,,AC_AJCRASE,CR,1,40108.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920563,8780043,24-05-2020,R07,401.08
1100701003,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920562,8769043,24-05-2020,R07,499.00
1100703005,,AC_AJCRASE,CR,1,40020.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003920561,8778084,24-05-2020,R07,400.20
1100716022,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919950,8771218,24-05-2020,R08,399.01
1100713024,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919949,8771224,24-05-2020,R08,399.01
1100708021,,AC_AJCRASE,CR,1,49900.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919948,8771223,24-05-2020,R08,499.00
1100708000,,AC_AJCRASE,CR,1,35103.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919947,8771217,24-05-2020,R08,351.03
1100701013,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919946,8771216,24-05-2020,R08,399.01
1100707013,,AC_AJCRASE,CR,1,39901.0,,20200424,,,,,,,Ajuste cuentas asigandas ciclo 24,000000000003919945,8771219,24-05-2020,R08,399.01
