CUENTA,REGION,MONTO,COMENTARIO
1100594005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100594009,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100595005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100596013,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100597005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100599010,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100599015,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100600007,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100601006,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100609002,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100609010,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610001,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610002,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610007,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610010,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610012,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100610017,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100611003,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100611007,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100611014,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100611016,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100611018,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100612004,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100612005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100612009,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100613004,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100613008,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614001,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614003,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614006,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614007,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614010,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100614011,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100615001,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100615002,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100615013,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100615014,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100615021,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616000,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616001,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616006,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616007,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616013,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100616017,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100617001,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100617002,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100617005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100618004,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100618005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100618006,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100619004,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100619013,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100619014,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100619016,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100620004,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100620005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100621002,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100621004,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100621005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100623002,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100623005,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
1100623006,1,,APLICACIÓN DE AJUSTE DE CREDITO CUENTA ASIGNADA CICLO 25
