Cuenta,Region,Monto,Comentario
1100594005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100594009,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100595005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100596013,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100597005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100599010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100599015,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100600007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100601006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100609002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100609010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610012,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100610017,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100611003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100611007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100611014,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100611016,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100611018,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100612004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100612005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100612009,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100613004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100613008,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100614011,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100615001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100615002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100615013,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100615014,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100615021,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100616000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100616001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100616005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100616007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100616013,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100616017,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100617001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100617002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100618004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100618005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100618006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100619004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100619013,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100619016,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100620005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100621002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100621004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100623002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100623005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100623006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100623007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100625000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100625002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100625005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100625006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100625010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100626006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100626007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100626010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100627006,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100627007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100629000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100629008,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100629009,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100629010,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630000,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630001,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630002,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630003,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630004,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630005,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630007,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630008,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
1100630009,1,,Aplicación de ajuste de credito a cuenta asignada TELCEL ciclo 25
